Name,average,location,price,on_hand,group,unit,sort
Caramel Sauce,6,Webstaurant,0.99,0,Flavor,bottle,sauce
Chocolate Sauce,20,Webstaurant,0.99,0,Flavor,bottle,sauce
White Chocolate Sauce,24,Webstaurant,0.99,0,Flavor,bottle,sauce
Dark Chocolate,3,Webstaurant,0.99,0,Flavor,bottle,sauce
Apple,1.5,Webstaurant,0.99,0,Flavor,bottle,syrup
Blood Orange,2.5,Webstaurant,0.99,0,Flavor,bottle,syrup
Blue Raspberry,9,Webstaurant,0.99,0,Flavor,bottle,syrup
Brown Sugar Cinnamon,2,Webstaurant,0.99,0,Flavor,bottle,syrup
Caramel,30,Webstaurant,0.99,0,Flavor,bottle,syrup
Cherry,3.5,Webstaurant,0.99,0,Flavor,bottle,syrup
Chocolate Chip Cookie Dough,4,Webstaurant,0.99,0,Flavor,bottle,syrup
Chai,10,Webstaurant,0.99,0,Flavor,bottle,other
Coconut,10,Webstaurant,0.99,0,Flavor,bottle,syrup
Cupcake,2,Webstaurant,0.99,0,Flavor,bottle,syrup
Hazelnut,3,Webstaurant,0.99,0,Flavor,bottle,syrup
Peppermint,0.5,Webstaurant,0.99,0,Flavor,bottle,syrup
Pineapple,4,Webstaurant,0.99,0,Flavor,bottle,syrup
Pomegranate,2,Webstaurant,0.99,0,Flavor,bottle,syrup
Pumpkin Spice,0,Webstaurant,0.99,0,Flavor,bottle,syrup
Raspberry,2.5,Webstaurant,0.99,0,Flavor,bottle,syrup
Salted Caramel,9,Webstaurant,0.99,0,Flavor,bottle,syrup
Strawberry,10,Webstaurant,0.99,0,Flavor,bottle,syrup
Toasted Marshmallow,3.5,Webstaurant,0.99,0,Flavor,bottle,syrup
Vanilla,20,Webstaurant,0.99,0,Flavor,bottle,syrup
Vanilla Bean,0,Webstaurant,0.99,0,Flavor,bottle,syrup
Watermelon,3.5,Webstaurant,0.99,0,Flavor,bottle,syrup
Sugar Free Brown Sugar Cinnamon,2,Webstaurant,0.99,0,Flavor,bottle,syrup
Sugar Free Caramel,3.5,Webstaurant,0.99,0,Flavor,bottle,syrup
Sugar Free Hazelnut,1.25,Webstaurant,0.99,0,Flavor,bottle,syrup
Sugar Free S'mores,2.5,Webstaurant,0.99,0,Flavor,bottle,syrup
Sugar Free Vanilla,4.5,Webstaurant,0.99,0,Flavor,bottle,syrup
Sugar Free White Chocolate,2,Webstaurant,0.99,0,Flavor,bottle,syrup
Dome lid,1,Webstaurant,0.99,0,Dry,case,
Flat Lid,2.5,Webstaurant,0.99,0,Dry,case,
Blueberry Smoothie,2.5,Webstaurant,0.99,0,Flavor,bottle,smoothie
Mango Smoothie,2,Webstaurant,0.99,0,Flavor,bottle,smoothie
Peach Smoothie,1.5,Webstaurant,0.99,0,Flavor,bottle,smoothie
Strawberry Smoothie,2,Webstaurant,0.99,0,Flavor,bottle,smoothie
Strawnana Smoothie,3,Webstaurant,0.99,0,Flavor,bottle,smoothie
